,name,salary,description,skills,company,address
0,Ведущий fullstack-аналитик,от 350 000 до 400 000 ₽ за месяц до вычета налогов,"Ты сможешь получить опыт и раскрыть свой потенциал, работая над уникальными технологичными проектами наших клиентов.  Ты фокусируешься на технических задачах, а мы берем на себя переговоры с заказчиком, решение бюрократических вопросов и своевременно оплачиваем работу на проекте.Приглашаем ""Ведущий fullstack-аналитик"" для работы на IT-проектах наших клиентов (в формате аутстафф). Обязанности  Анализ бизнес-процессов и разработка бизнес-требований. Трансформация требований от пользователей, владельцев продукта, бизнес-аналитиков в технические задания/постановки для разработчиков ПО. Проектирование на основе передовых отраслевых практик высокоуровневой архитектуры систем или приложений (High-Level System Design). Участие в процессах оценки проектов. Консультирование коллег по вопросам затронутых предметных областей и передового опыта в области бизнес- и системного анализа. Участие тестировании созданных программных продуктов, а также презентациях продукта/проекта заказчику  Обязательные требования  Опыт работы в предметных областях бизнес-анализ и системный анализ не менее 5 лет, подтвержденный опыт работы в области разработки архитектуры (High-Level System Design)- не менее 2 лет.  Хорошее знание SQL (индексы, оптимизация запросов, алгоритмы), а также реальный опыт работы с реляционными и нереляционными БД. Опыт практического применения архитектурных паттернов или технологий CQRS, SAGA, CDC и т.п. Опыт применения решений в части распределенных вычислений, хранения данных, масштабирования, отказоустойчивости.  Хорошее знание BPMN, UML.  Опыт работы с брокерами сообщений (Apache Kafka, Rabbit MQ).  Знание и опыт работы в части ИБ (AAA, шифрование и защита данных).  Понимание и практический опыт работы с аналитическими хранилищами данных (BI).  Понимание основ методологии непрерывной интеграции и непрерывного развертывания (CI/CD), включая вопросы мониторинга и логирования (Prometheus/ Grafana/ ELK Stack).  Будет плюсом   Опыт работы в финтехе- не менее 2 лет.   Владение каким-либо языком программирования (JAVA, C#, Pyton и т.п.).   Знание и опыт применения SCRUM, а также одного из общепринятого стандарта управления проектами.   Опыт использования методологий С4, Archimate, TOGAF.   Опыт работы в специализированном ПО, например, Sparx Enterpise Architect, Business Studio (российское ПО) или аналогами.    Высшее техническое образование в сфере ИТ или точных наук.   Мы предлагаем:    Удаленную работу - возможность работать из любого города   Заключение договора гражданско-правового характера.   Важно! Оплата за фактически отработанное время на проекте, выплата осуществляется в российских рублях   Интересные и уникальные проекты - в финансовой и промышленной сферах   Мы предоставляем сложные, но стабильные проекты с современным стеком. Ты фокусируешься на коде и архитектуре, а мы берем на себя переговоры с заказчиком, решение бюрократических вопросов и защиту твоего спокойствия и интересов.  Твоя зона ответственности — качественный продукт, наша — надежная поддержка и своевременная оплата. Этапы отбора: Мы уважаем твое время, поэтому наш процесс отбора максимально прозрачен:   Анкета – знакомство с твоим опытом в чат-боте.   Первичное интервью – расскажем о проектах, узнаем друг друга.   Техническое интервью – обсуждение твоих навыков и кейсов.   Предложение о сотрудничестве.","['Аналитическое мышление', 'BPMN', 'UML', 'Анализ бизнес-процессов', 'Системный анализ']",RedLab,"Москва, Библиотека им.Ленина, Охотный ряд, Площадь Революции, Театральная, Центральный административный округ"
1,Младший аналитик данных (Развитие сети ПВЗ),,"Команда: Аналитика развития сети ПВЗ ОЗОН Чем занимаемся: Развиваем крупнейшую сеть пунктов выдачи заказов. Наша аналитика — фундамент стратегии: мы определяем вектор развития сети ПВЗ, находим рычаги повышения эффективности и выявляем зоны роста. Что предстоит делать:  Влиять на стратегию развития сети ПВЗ через данные. Работать с ключевыми метриками развития сети — от их формирования и улучшения до внедрения в процессы принятия решений. Создавать и поддерживать дашборды в Superset — от идеи до работающего инструмента для бизнеса. Проводить глубинную ad-hoc аналитику, выявлять зоны роста и проблемные места.  Кого ищем:  Бизнес-мышление: видите за цифрами бизнес-логику, умеете находить инсайты в данных и переводить их в конкретные решения. SQL: уверенные базовые знания, готовность писать запросы и разбираться в данных. Python: базовое владение pandas для обработки и анализа данных. Визуализация: опыт построения отчетности в Superset, Tableau, Power BI или аналогах. Инструменты: понимание принципов работы с Git и Airflow.",['Ozon офис и коммерция'],Ozon Офис и Коммерция,"Москва, Деловой центр, Деловой центр, Деловой центр, Москва-Сити, Пресненская набережная, 10блокС"
2,Продуктовый аналитик,от 180 000 до 250 000 ₽ за месяц на руки,"Мы Каршеринг BelkaCar — экономичная, удобная и безопасная альтернатива собственному автомобилю и такси. Ежедневно BelkaCar используют десятки тысяч человек, а общее количество зарегистрированных пользователей превышает шесть миллионов человек. Непростых и интересных задач у нас очень много, а цель одна: сделать лучший каршеринг на рынке. Нам нужен аналитик, который мог бы самостоятельно анализировать продукт и поведение пользователей, помогать определять и считать ключевые метрики, выявлять проблемы и предлагать способы их устранения, выдвигать и проверять гипотезы с помощью А/В тестов. Чем предстоит заниматься:  участвовать в разработке новых продуктов с продуктовой командой и командой разработки; разрабатывать систему отчётности с ключевыми метриками, участвовать в проектировании моделей данных для решения аналитических задач; анализировать и оптимизировать существующие бизнес-процессы, формировать предложения и решения; поиск точек роста продуктов и повышение эффективности бизнес процессов на основе анализа данных, проведение А/B тестов; поддерживать данными процессы принятия решений, выполненять ad hoc аналитики и запросов по необходимости.  Что ожидаем от вас:  высшее образование (МГУ, ВШЭ, МИФИ, МФТИ и аналогичные) опыт работы именно продуктовым аналитиком от 1 года (не системным или BI) в сфере транспорта, финансов или e-commerce хорошее знание математической статистики, умение видеть за числами физический смысл, находить причины и следствия явлений, докапываться до сути умение вести несколько проектов одновременно, взаимодействовать со внутренними заказчиками, самостоятельно формулировать и ставить задачи отличное владение SQL, владение Python для анализа данных (NumPy / SciPy / Pandas) понимание принципов построения BI, навыки работы с основными BI системами (Tableau или аналоги)  Мы предлагаем:   интересный, актуальный продукт и возможность влиять на весь рынок   возможность работать удаленно   супер-комфортную команду, поддержку руководителя в профессиональном развитии   гибкое начало рабочего дня   ДМС, корпоративный тариф на наш каршеринг для сотрудников и их друзей, 5 дополнительных отгулов в год","['SQL', 'Python', 'Анализ данных', 'А/В тесты', 'Математическая статистика']",BelkaCar,
3,Аналитик/координатор,172 000 ₽ за месяц до вычета налогов,"Обязанности:  сбор и первичный анализ информации для обоснования новых проектов, подготовка справочных и аналитических материалов разработка детальных план-графиков, формирование необходимых справочных и расчетных материалов для планирования анализ рынка, отслеживание новых тенденций, технологий, программных продуктов и методологий для повышения эффективности деятельности компании участие в подготовке ежемесячных, ежеквартальных отчетов о деятельности отдела,систематизация данных для постпроектного анализа эффективности и успешности  Требования:  высшее профессиональное (экономическое, техническое, аналитическое, менеджмент, маркетинговые исследования) опыт работв в сфере сбора и анализа информации, поддержки проектной деятельности ( в роли члена проектной команды, администратора проектов, специалиста проектного офиса) желателен опыт работы на производственных предприятиях (понимание технологии производства напитвков)  Условия:  график работы: с 8:30 до 17:00, 5/2 субота, воскресенье выходной корпоративный транспорт от м. Озёрная заработная плата своевременно, 2 раза в месяц, полностью отражается в справке 2НДФЛ оформление официальное по ТК РФ все выплаты с соблюдением ТК РФ отпуск от 28 дней, оплата больничных питание в корпоративной столовой по демократичным ценам медосмотр оплачивается работодателем корпоративный ДМС скидка на продукцию в фирменных магазинах ""Очаково"" отдых и лечение в корпоративном санатории в Краснодарском крае (со скидками работникам, членам семей и друзьям)  Нужна уверенность в завтрашнем дне? Работай с нами! Спасибо за отклик! Если ваше резюме соответствует вакансии, мы свяжемся с вами в ближайшее время.","['Аналитическое мышление', 'Обучение и развитие', 'Работа с большим объемом информации', '1С: Предприятие 8', 'Анализ рынка', 'Аналитика']",АО ОЧАКОВО,"Москва, Рябиновая улица, 44"
4,Младший специалист по аналитике,,"Обязанности:  Выполнение запросов бизнес заказчиков на уровне отдела продаж; Выпуск ежедневной, еженедельной, ежемесячной стандартной отчетности; Подготовка данных для проведения мотивационных программ; Подготовка презентаций к селекторам отдела продаж; Подготовка презентаций дивизиона для отчетных встреч, City Review;  Требования:  Знания Excel, Power Point (знание макросов и надстроек Power Pivot, Power Query, навыки работы с кубами OLAP приветствуется); Практические навыки работы с базами данных CRM; Навыки прогнозирования;  Условия:  Срочный трудовой договор на 9 месяцев до 31.12.2026; Официальное трудоустройство с первого дня по ТК РФ; Стабильная заработная плата; Пятидневная рабочая неделя с 09:00 до 17:30, выходные: суббота, воскресенье; Компенсация корпоративного питания в столовой компании; Реальные задачи и возможность влиять на процессы крупной Компании; Развитие под руководством опытного наставника; Скидки и привилегии от партнеров по программе BestBenefits.",[],Пивоваренная компания Балтика Стажировки,"Москва, Отрадная улица, 2Бс1"
5,Excel Аналитик,до 130 000 ₽ за месяц на руки,"Обязанности:  Сбор и обработка данных; Контроль, корректировка ввода данных; Ведение, обработка сводных таблиц в Microsoft Excel; Работа с отчетной документацией; Разработка форм отчетности; Ведение компаний.  Требования:  Образование высшее; Опыт работы с обработкой данных; Понимание электронно-вычислительной техники, комплектующих устройств и другого оборудования. Высокий уровень пользователя ПК, программ пакета M. Office, уклон на Excel;  Опыт работы Excel - продвинутый уровень: сводные таблицы, функции (ВПР для сравнения двух таблиц, построения выпадающего списка, обработки нескольких условий, подготовки сводного отчета, ИНДЕКС+ПОИСКПОЗ, СУММЕСЛИ и пр.);  Работа с большим объемом данных, свыше 30 тыс.строк в Excel; Способность быстро включаться в процесс работы и оперативно отрабатывать поставленные задачи; Коммуникабельность, умение четко доносить информацию.  Условия:  обучение специфике работы, наставничество. оформление и полное соблюдение ТК РФ; территориально м. Чистые пруды. график работы 5/2 с 10.00. до 19.00 (строго), работа в офисе заработная плата 130 000 (на руки) после испытательного срока",[],Общ. орг. Российское Авторское Общество,"Москва, Чистые пруды, Архангельский переулок, 12/8с1"
6,Аналитик данных в команду маркетинговой аналитики,,"Привет! Я Людмила, лид команды маркетинговой аналитики в Лента Онлайн (сервис доставки продуктов, онлайн-направление ведущего продуктового ритейлера “Лента”).Сейчас ищу маркетингового аналитика в нашу команду, которая отвечает за привлечение и возврат аудитории через офлайн и онлайн каналы, а также за широкие маркетинговые коммуникации и акции лояльности.Наш стэк: данные лежат в ClickHouse и Postgresql, расчеты делаем в Python, ставим на расписание в Airflow. Дашборды делаем в Superset и PowerBI. Ваши задачи:Оценивать маркетинговые акции и эксперименты с точки зрения влияния на основные бизнес-показатели,Погрузиться в текущие А/B эксперименты и гео-тесты, проектировать, оценивать результаты и давать рекомендации,Погрузиться в текущие наработки в ML моделировании эффектов маркетинговых акций, а также разработать новые подходы к оценке, включая ТВ размещения, акции-розыгрыши и другие акции лояльности,Строить и поддерживать прогнозные модели в маркетинге,Разрабатывать селф-сервисные инструменты и веб-интерфейсы для маркетинговых менеджеров,Создать и поддерживать витрины данных для последующего анализа маркетинговых механик.Ждем от вас:Разбираться в статистике и эконометрикеОпыт работы аналитиком от 2 лет, опыт в DS/ML приветствуетсяУверенное владение SQL и PythonОпыт с Superset, Tableau или другими BI системамиМы предлагаем:Масштабные задачи, прямое влияние на принятие решений в высоконагруженном сервисеВысокую востребованность в аналитике от бизнеса и степень доверия к ней, короткие цепочки от исследования до внедренияРаботу вместе c вовлеченной командой профи: в нашей команде ребята из крупнейших e-commerce и ИТ-компанийОформление в IT-компании, аккредитованной в Министерстве цифрового развитияФормат работы: удаленка/гибридДМС класс Люкс со стоматологиейЗП: оклад + квартальные бонусы",[],"Лента, федеральная розничная сеть, Работа в IT",
7,Стажер в отдел бизнес-аналитики,до 68 000 ₽ за месяц до вычета налогов,"🔥 Стажер в отдел бизнес-аналитики — твой первый шаг в большой бизнес! Хочешь кайфовать от процессов, разбирать, как работает бизнес, и помогать компании принимать топовые решения? Тогда эта стажировка — для тебя! 🚀 Мы ищем стажера в бизнес-аналитику, который не просто хочет учиться, а готов врываться в тему и прокачивать скиллы вместе с нами. Чем будешь заниматься?  Крутить данные: исследуем рынок, конкурентов и процессы компании. Находить баги в бизнес-процессах (As-Is) и предлагать апгрейд (To-Be). Ставить задачи на автоматизацию и новые фичи. Рисовать схемы в BPMN (типа мемов, но полезных). Писать сценарии (Use Cases) и истории (User Stories) — почти как сторителлинг, только для бизнеса. Общаться с клиентами и качать soft skills. Принимать решения на основе данных — не просто ""нравится/не нравится"". Контролить разработку и тестировать, как настоящий QA. Копать вглубь: задавать ""Почему?"" и ""Зачем?"". Придумывать неочевидные решения — креатив приветствуется!  Что от тебя нужно?  Базовый Excel и BPMN (если не знаешь — научим, но основы должны быть). Желание учиться и не париться о сложных задачах. Умение работать в команде и не бояться фидбека. Логику и внимательность к мелочам (типо ""нашел баг — молодец""). Желание расти в бизнес-аналитике — не просто для галочки.  Почему с нами зайдет?  Опытные менторы, которые не кинут в свободное плавание. Реальная практика — не просто ""носи кофе"". Возможность перейти на полноценную работу после стажировки. Гибкий график и комфортный офис. Стажировка оплачивается — твой труд ценится!  Ждем именно тебя — вместе сделаем бизнес эффективнее и круче!","['MS Excel', 'BPMN']",Совкомбанк Страхование,"Москва, Динамо, Петровский парк, Ленинградский проспект, 35с1"
8,Аналитик,,"ЗАО «Группа компаний С7» (S7 Group) — управляющая компания холдинга S7. Мы занимаемся стратегическим и коммерческим планированием, юридическим сопровождением, управляем финансами, маркетингом, пиаром и развиваем продажи. Сейчас мы находимся в поиске Аналитика в группу стратегического планирования. Нам очень хочется, чтобы сотрудники росли вместе с компанией, учились, развивались и повышали свою квалификацию. Всё это поможет достигать поставленных целей, которые ставит перед собой S7. Чем предстоит заниматься:  Планировать маршрутную сеть на горизонте до года; Искать нишевые рынки с маржинальностью выше средней, анализировать рынок и расписание конкурентов, участвовать в переговорах с аэропортами с целью снижения прямых затрат на рейсы; Взаимодействовать с отделом расписания по внедрению инициатив изменения маршрутной сети и коммерческим директоратом по управлению доходами и ценообразованию на рейсах;  Для нас важно:  Высшее образование; Навыки и фундаментальные знания в математическом анализе; Навык работы с массивами данных; Владение хорошими коммуникативными навыками;  Мы предлагаем: Условия работы:  Мы полностью соблюдаем трудовое законодательство Российской Федерации; Супер удобное расположение офиса - Петровка, 7; Пятидневный график работы в современном офисе класса А+; Корпоративная жизнь, насыщенная разнообразными событиями;  Карьера:  Профессиональное обучение, участие в тренингах и конференциях; Возможность развиваться, пробовать новое, проявлять инициативу, запускать свои проекты. Профессиональный и дружный коллектив, готовый делиться опытом и знаниями;  Корпоративные привилегии:  ДМС после испытательного срока; Диагностика, исследования, приёмы, консультации врачей и лечение – бесплатно. Стоматология и премиальные клиники – со скидкой до 75%; Возможность путешествовать всей семьей по специальным корпоративным тарифам на рейсах S7; Программа корпоративных скидок PrimeZone. Скидки от -5% до -80% у 1500+ партнёров по всей стране (развлечения, магазины, рестораны, фитнес, салоны красоты, турфирмы, онлайн-обучение, недвижимость и т.д.); «Понимаю» - программа психологической, финансовой и юридической поддержки сотрудников. Безлимитное количество консультаций; Программа здорового образа жизни S7 Impulse (бесплатные онлайн- и оффлайн-тренировки по разным видам спорта); Программы для детей сотрудников (-75% на путёвки в детские летние лагеря, подарки детям сотрудников на Новый год, Детские новогодние ёлки, подарки первоклассникам).","['Аналитическое мышление', 'Математический анализ']",S7 Group,"Москва, Кузнецкий мост, Охотный ряд, Театральная, улица Петровка, 7"
9,Аналитик данных клиентского опыта,от 300 000 ₽ за месяц до вычета налогов,"ЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:    Анализ текущего состояния бизнес-процессов, описание существующих бизнес-процессов, сбор требований к бизнес-процессу - выявление и анализ проблем по ним Реализация проектов оптимизации процессов и совершенствования систем Написание пользовательских историй и диаграмм использования Разработка критериев результативности бизнес-процессов Оцифровка и участие в исследованиях клиентского опыта Подготовка данных для отчетов и презентаций Автоматизация отчетности, работа с Tableau и BI, использование инструментов ИИ для автоматизации Взаимодействие с бизнес подразделениями в решении вопросов клиентского сервиса и клиентского опыта    НАШИ ПОЖЕЛАНИЯ К СОИСКАТЕЛЮ:  Высшее образование Опыт работы от 3 лет бизнес-аналитиком в проектах по оптимизации/стандартизации процессов или продуктов Банка/МФО Опыт подготовки требований, технических заданий, приемки результатов разработки, написания тест-сценариев, организации и проведения тестирования сквозных процессов Навык написания User Story, описания бизнес-процессов в формате As is/To be Опыт в применении инструментов автоматизации процессов и задач (ИИ, Опыт в применении инструментов автоматизации процессов и задач (ИИ, Tableau и BI)","['Анализ данных', 'Описание бизнес-процессов', 'Подготовка презентаций']",АО Банк ДОМ.РФ Другие подразделения,"Москва, Гражданская, Динамо, Петровский парк, ЦСКА, Ленинградский проспект, 35с1"
