,id,url,name,salary,description,skills,company,area,published_at,source,query
0,131960119,https://hh.ru/vacancy/131960119,Аналитик данных (офис),,"Основные задачи:\nФормализация и структурирование требований к отчетности и аналитике;\nДокументирование бизнес-процессов и пользовательских сценариев;\nОсуществление постоянного взаимодействия между бизнес-заказчиками и командой разработки;\nУчастие в разработке тест-планов и тест-кейсов;\nОсуществление контроля целостности и работоспособности создаваемых программных продуктов.\nТребования:\nВысшее образование;\nЗнание офисного ПО (MS Office, MS Outlook, MS Excel (продвинутый уровень), MS PowerPoint);\nЗнание Power BI Desktop;\nЗнание Power Query (продвинутый уровень);\nЗнание языков программирования (DAX – базовый уровень, SQL – базовый уровень);\nнавыки моделирования бизнес-процессов, разработки и внедрения процессов;\nнавыки автоматизации производственной/управленческой/финансовой отчётности;\nнавыки формировани ФТТ.\nУсловия:\nОформление в штат в соответствии с ТК РФ;\nКонкурентоспособная заработная плата (обсуждается по результатам\nсобеседования);\nСоц. пакет (ДМС с первого дня оформления на работу);\nКорпоративный университет;\nОфисный или гибридный график работы 5/2 с 9:00-18:00 (пятница до 16:45).","['SQL', 'Power BI', 'Power Query', 'DAX']",ИК СИБИНТЕК,Москва,2026-04-10T14:41:53.642+03:00,hh,аналитик данных
1,132020784,https://hh.ru/vacancy/132020784,Системный аналитик BI (Visiology),,"Обязанности:\nПроектирование и разработка аналитических дашбордов: создание интерактивных отчётов, настройка визуализаций;\nРазработка и оптимизация моделей данных в визуальном конструкторе;\nСоздание и настройка DAX-формул для расчёта KPI и аналитических показателей;\nПроектирование процессов сбора данных через веб-формы с валидацией и контролем качества;\nКонфигурирование ETL-процессов: настройка потоков обработки, автоматизация обновления данных;\nАнализ требований к источникам данных и проектирование схем интеграции;\nАнализ требований заказчиков и проектирование аналитических решений под бизнес-задачи;\nРазработка требований к разграничению доступа и безопасности данных;\nСоздание технической документации: спецификации дашбордов, описание метрик, руководства пользователя.\nТребования:\nОпыт работы системным или бизнес-аналитиком в области BI от 3-х лет;\nПонимание архитектуры BI-платформ и принципов построения аналитических решений;\nЗнание Visiology (модули Dashboards, Smart Forms) или готовность к быстрому освоению;\nУверенное знание DAX для создания мер и вычисляемых показателей;\nОпыт визуального моделирования данных: построение схем «звезда», «снежинка»;\nПрактический опыт работы с ETL-процессами и инструментами трансформации данных;\nЗнание SQL для анализа источников и создания пользовательских запросов;\nПонимание принципов интеграции BI-систем с различными источниками данных;\nОпыт настройки ролевой модели и разграничения доступа к данным.\nУсловия:\nОфициальное оформление в соответствии с ТК РФ;\nГрафик работы: 5/2 с 09:00 до 18:00 (в пятницу до 16:45);\nРабота в аккредитованной Минцифры ИТ-компании;\nКонкурентоспособная заработная плата (обсуждается по результатам собеседования);\nСоцпакет: программа ДМС со стоматологией, корпоративная мобильная связь, санаторно-курортное лечение;\nВозможность расти как вертикально, так и повышать уровень своих профессиональных и деловых компетенций;\nВнутреннее обучение: конференции, тренинги, мастер-классы, корпоративный университет. Внешнее обучение по направлению профессиональной деятельности;\nВозможность присоединиться к нашим спортивным командам по мини-футболу, баскетболу, волейболу или чирлидингу;\nКорпоративная электронная библиотека;\nКомфортный офис в бизнес-центре «NordStar» с удобным расположением (5 мин пешком от метро «Беговая», МЦД-1).","['Python', 'SQL', 'Airflow', 'Git']",ИК СИБИНТЕК,Москва,2026-04-10T18:31:22.369+03:00,hh,аналитик данных
2,132030107,https://hh.ru/vacancy/132030107,Архитектор Oracle Primavera,,"Обязанности:\nПроектирование ИТ-решений по направлению ""Управление капитальным строительством"" на платформе Oracle Primavera или SAP (SAP PS);\nДоработка и ведение проектной и эксплуатационной документации (функционально-технические требования, модель данных, проектные решения, сценарии тестирования, инструкции пользователей, протоколы и т.д.);\nОрганизация и проведение интеграционного и приёмочного тестирования;\nПоддержка и развитие решения в опытно-промышленной и промышленной эксплуатации;\nВзаимодействие с разработчиками (ABAP и SQL) с целью выявления и устранения программных ошибок;\nВыполнять работы по управлению текущей ИТ-архитектурой по направлению ""управление капитальным строительством"";\nВыполнять контроль соответствия реализации проектов автоматизации дорожной карте и целевой ИТ-архитектуре по направлению;\nПроектировать архитектуру информационных систем по направлению;\nВыполнять архитектурную поддержку реализации проектов автоматизации (выполнять работы в роли главного архитектора проекта, руководителя функциональной группы, технического архитектора, эксперта по направлению в соответствии с параметрами проекта (сроки, бюджет, результат), в соответствии с принятыми нормативными документами и требованиями Заказчика.\nВключая: формирование архитектурных требований, контроль их реализации;обеспечение экспертизы/согласование проектных документов и принятия ключевых архитектурных решений на этапах работ; обеспечение единой точки ответственности перед Заказчиком за соответствие результатов проекта функционально-техническим требованиям; контроль полноты и корректности приёмки результатов; формирование перечня архитектурных рисков и предложений по их снижению.\nТребования:\nОпыт внедрения Oracle Primavera в роли эксперта/консультанта/архитектора на проектах внедрения и тиражирования (выявление функциональной недостаточности, реализация, обучение, тестирование, подготовка к старту, поддержка при запуске);\nОпыт работы с SAP PS на проектах внедрения и тиражирования (выявление функциональной недостаточности, реализация, обучение, тестирование, подготовка к старту, поддержка при запуске);\nЗнания аспектов интеграции Oracle Primavera с платформой SAP PS и смежными модулями SAP (MM, PM, FI, CO), другими модулями и системами (SAP BW);\nОпыт непосредственного взаимодействия с бизнес- заказчиками, методологами и аналитиками;\nОпыт самостоятельной разработки проектных и эксплуатационных документов;\nБудет преимуществом: а) Опыт разработки решений по автоматизации функции управления капитальным строительством на базе Oracle Primavera / SAP PS; б) Участие в проектах тиражирования и доработок/поддержки внедрённых решений; в) Знание подходов по разработке ИТ-архитектуры по автоматизации функции управления капитальным строительством и соответствующей внутрикорпоративной отчётности на платформе Oracle Primavera / SAP, их ключевой функциональности и типовых интеграций;\nЗнание бизнес-процессов управления капитальным строительством;\nЗнание (на уровне продвинутого пользователя) офисного ПО (MS Office, MS Outlook, MS Visio, MS Project, MS PowerPoint);\nПриветствуется (но не обязателен) опыт работы со смежными и альтернативными решениями (SAP ERP, SAP BPC, SAP BW, 1С ERP, 1С УХ);\nБудет востребован (но наличие не обязательно) опыт работы на стороне функционального заказчика (например, в должности специалиста проектного отдела), опыт выстраивания процессов управления капитальным строительством.\nУсловия:\nОформление в штат в соответствии с ТК РФ.\nКонкурентоспособная заработная плата (обсуждается по результатам собеседования).\nСоц.пакет: программа ДМС со стоматологией, корпоративная мобильная связь, санаторно – курортное лечение.\nВозможность расти как вертикально, так и повышать уровень своих профессиональных и деловых компетенций.\nВнутреннее обучение: конференции, тренинги, мастер-классы, корпоративный университет. Внешнее обучение по направлению профессиональной деятельности.\nКорпоративная электронная библиотека.\nМесто работы: м. Беговая, бизнес-центр ""NordStar"" (возможен удаленный формат работы).","['Python', 'SQL', 'Git']",ИК СИБИНТЕК,Москва,2026-04-10T15:32:31.178+03:00,hh,аналитик данных
3,131758015,https://hh.ru/vacancy/131758015,Аналитик данных,,"Мы - уже 22 года динамично развиваемся и обеспечиваем холдинг товарно-материальными ценностями, сырьем и оборудованием.\nНаша миссия - оперативно снабжать заводы всем необходимым для бесперебойной работы и производства подвижных составов, локомотивов для этого мы ищем кандидата на вакансию\nаналитика цен в офисе\n. В договоре должность - главный специалист.\nЧЕМ ПРЕДСТОИТ ЗАНИМАТЬСЯ:\nАнализ калькуляций себестоимости закупаемой продукции в части материальных затрат, ФОТ, накладных расходов.\nФакторный анализ причин изменения себестоимости.\nНастройка и подготовка отчетности, справочных материалов, аналитических записок, презентаций, динамик по показателям с анализом трендов и критических отклонений по вопросам ценообразования.\nМониторинг показателей по процессам, построение визуализации и отчетности в Excel, Power BI.\nУчастие в проектах по автоматизации и цифровизации финансово-экономической деятельности.\nПодготовка технических заданий для формирования отчетности в 1С.\nАнализ бизнес-процессов, подготовка предложений по их оптимизации.\nНАМ ВАЖНО НАЛИЧИЕ:\nВысшего образования (экономическое/ инженерно-экономическое)\nОпыт работы в области финансового анализа или смежной деятельности от 3 лет\nОпыт конфигурирования и формирования отчетных данных в 1С (ERP)​​​​​​​\nУверенное владение Excel (формулы, сводные таблицы, макросы)\nОпыта анализа данных и подготовки аналитических отчетов (Excel и тд)\nНавыка работы с ERP-системами (желательно 1С ERP)\nУверенное владение PowerPoint\nОпыт работы в Power BI по визуализации данных и интерактивных отчетов\nВладение справочно-правовыми системами Консультант Плюс, Гарант\nОгромный плюс:\nзнания по основам проектного управления, участие в проектах по автоматизации.\nЛичных качеств: аналитический склад ума, умений четко и ясно отражать результаты анализа устно и письменно, внимание к деталям.\nМЫ ПРЕДЛАГАЕМ:\n✅ Стабильность:\n- Конкурентная «белая» зарплата + регулярные квартальные премии (40-60% от оклада).\n- Соц. пакет: ДМС после испытательного срок, материальная помощь по определенным случаям.\n✅ Поддержка семьи:\n- Дополнительные оплачиваемые дни отпуска: 1 сентября (для родителей первоклашек), рождение ребенка (для отцов), свадьба.\n- График 5/2 (с 9:00 до 18:00)\nв офисе\n, рядом с м. Белорусская (~ 10 минут пешком)\n✅ Развитие и комфорт:\n- Обучение за счет компании (курсы, электронная библиотека для всей семьи, вебинары).\n- Участие в обработке данных компании и в проектах - профессиональный рост гарантирован!\n- Дружный коллектив и спортивные мероприятия, где рады видеть вас и ваших близких.\nМы создаем среду, где можно совмещать карьеру и развитие. Если вы ответственный специалист, готовый расти вместе с нами, - ждем ваше резюме!","['Анализ данных', 'Аналитическое мышление', 'Визуализация данных', 'Power BI', 'MS Excel', '1C: ERP', 'Работа с большим объемом информации', 'Интерпретация данных', 'Формирование аналитической отчетности', 'Анализ себестоимости', 'Факторный анализ']",ТД ТМХ,Москва,2026-04-10T19:05:16.004+03:00,hh,аналитик данных
4,131008371,https://hh.ru/vacancy/131008371,Аналитик данных,,"Чем тебе предстоит заниматься:\nПроведением исследований, направленных на выявление проблем в Холдинге, разработкой предложений по их устранению;\nИзучением потребительского поведения аудитории Холдинга и аудитории конкурентов;\nРешением ad-hoc запросов от руководства Холдинга;\nРазработкой и контролем операционной отчётности для руководства Холдинга;\nРаботой с источниками данных для создания новой отчетности при отсутствии синхронизации хранилища с необходимыми системами;\nАвтоматизацией процессов учета и бизнес-процессов в компании.\nЧто мы ждем от тебя:\nОпыт работы от 3 лет в роли дата аналитика;\nУверенное владение SQL, python, hadoop, spark;\nВысшее техническое образование;\nПреимуществом будет: A/B тестирование, создание отчетов/дашбордов в Tableau, Power BI, GitLab, Kafka\nЧто мы предлагаем:\nПятидневную рабочую неделю, восьмичасовой рабочий день (10:00-19:00);\nОформление по ТК РФ с первого дня и все социальные гарантии;\nБелую заработную плату и зарплатный проект Сбера, благодаря которому тебе будет доступна льготная ипотека (или рефинансирование существующей) для тех, кто с нами полгода и дольше, а также - бесплатная подписка Прайм+, доступы к онлайн-кинотеатру, аудио-сервисам, аптеке и другим;\nДМС со стоматологией после трёх месяцев работы. Ещё в полис входят онлайн-консультации врачей, страховка для путешественников и другие услуги;\nСотрудникам предоставляем нужную технику (ноутбук, мышь, наушники);\nУсловия для профессионального развития и карьерного роста;\nКомфортные офисы в городах присутствия — с тихой зоной для работы и переговорными для совещаний и мозговых штурмов;\nБонусы для сотрудников: корпоративные скидки у партнёров, внутрисамокатовские конкурсы и квизы с призами, подарки для детей и многое другое.","['SQL', 'Python', 'Аналитические исследования']",Самокат (ООО Умный ритейл),Москва,2026-04-10T17:59:43.738+03:00,hh,аналитик данных
5,132032188,https://hh.ru/vacancy/132032188,Аналитик данных,,"Обязанности:\nИзвлечение и обработка данных: Выполнение выгрузок из корпоративных баз данных (SQL) и обработка «сырых» данных с помощью скриптов (Python/pandas);\nАнализ и визуализация: Построение таблиц, графиков и дашбордов для визуализации ключевых метрик и поиска аномалий;\nПодготовка отчетности: Разработка и автоматизация регулярной отчетности, расчет показателей для операционных и стратегических решений;\nРабота с бизнес-задачами: Перевод вопросов от внутренних заказчиков (например, из маркетинга или продаж) на язык данных, формулирование выводов и рекомендаций;\nAd-hoc запросы: Быстрое выполнение разовых запросов на поиск причин отклонений метрик или проверка гипотез;\nТестирование функционала.\nТребования:\nSQL (продвинутый уровень): Уверенное знание различных типов JOIN, группировок (GROUP BY), оконных функций и подзапросов;\nPython для анализа данных: Владение библиотеками pandas, numpy, matplotlib;\nУмение писать функции для очистки и трансформации табличных данных;\nИнструменты визуализации: Понимание логики построения дашбордов в любом BI-инструменте;\nРабота с неопределенностью: Умение самостоятельно разбираться в структуре баз данных и логике их наполнения;\nУсловия:\nОфициальное трудоустройство в крупнейшем кондитерском холдинге России.\nГрафик работы 5/2, стабильный рабочий день с 09-00 до 18-00.\nОфис в шаговой доступности от м. Павелецкая.\nВозможности для профессионального роста и развития.","['Python', 'SQL', 'Pandas', 'NumPy', 'Excel', 'ClickHouse', 'PostgreSQL', 'Git']",Объединенные кондитеры,Москва,2026-04-10T16:23:29.328+03:00,hh,аналитик данных
6,132032161,https://hh.ru/vacancy/132032161,Аналитик данных,60 000 ₽ за месяц на руки,"Задачи:\nСбор и очистка данных: извлечение информации из 1С: Торговля и приведение её в порядок для анализа.\nАнализ показателей: расчет ключевых метрик (KPI) и поиск закономерностей.\nПроверка гипотез: проведение A/B-тестов для оценки влияния изменений на продукт.\nВизуализация: создание понятных отчетов и интерактивных дашбордов для руководства.\nSQL: основной язык для работы с базами данных.\nКлючевые требования:\nОбязателен опыт работы с 1С\nРабота с данными: уверенное владение Excel (сводные таблицы, сложные формулы, функции); опыт обработки и анализа больших массивов информации.\nВизуализация:\nопыт работы с BI-инструментами (Power BI / Tableau / Yandex DataLens)\nдля создания дашбордов и наглядного представления результатов.\nЯзыки программирования: знание Python или R для статистической обработки данных и автоматизации расчетов.\nАналитическая база: высшее образование в области математики, статистики или смежных специальностей; понимание основ теории вероятностей и методов статистического анализа.\nМы предлагаем:\nРабота в крупной «белой» компании федерального уровня.\nОфициальное трудоустройство с первого дня на полставки.\nПолугодовые премии по результатам работы.\nДМС после прохождения испытательного срока.\nКорпоративные скидки в стоматологических клиниках-партнерах для сотрудников и членов их семей.\nГрафик: по согласованию в промежутке с 8:00 до 19:00 (кроме выходных дней).\nРабота в офисе. Современный офис класса А в шаговой доступности от м. Бутырская и МЦД-3 Останкино. Для сотрудников предусмотрены комфортные рабочие места, чай, кофе и какао.\nЭтапы собеседований:\nТелефонное интервью с HR\nОнлайн встреча\nТестовое задание\nЛичная встреча в офисе","['Python', 'SQL', 'Excel', 'Power BI', 'Tableau', 'Git']",Глав Денталь,Москва,2026-04-10T16:22:34.477+03:00,hh,аналитик данных
7,132031653,https://hh.ru/vacancy/132031653,Аналитик данных,от 300 000 до 350 000 ₽ за месяц на руки,"ЛИАН — системный интегратор с фокусом в аналитике и управлении данными.\nМы работаем в трех направлениях:\n1. Автоматизация управленческой отчетности (BI) в малом и среднем бизнесе.\nСтроим хранилища данных, настраиваем сбор и интеграцию, разрабатываем отчеты и дэшборды. Наш стек в BI включает все современные инструменты, в том числе open-source ПО.\n2. Заказная разработка аналитических систем.\nКогда у нашего клиента есть специфичный запрос, мы разрабатываем аналитические системы с нуля. Часто применяем подходы BigData, Data Science, актуальные подходы к программному анализу данных и прогнозированию.\n3. Запуск и ресурсное обеспечение команд разработки в комплексных проектах цифровой трансформации.\nМы усиливаем команды наших партнеров и клиентов собственными сотрудниками и обеспечиваем максимально быстрый старт новых проектов. Среди наших заказчиков - крупные системные интеграторы, банки, нефтегазовые, химические производства, логистические компании, стартапы.\nСейчас мы приглашаем опытного аналитика данных\nЧем предстоит заниматься:\nВести разработку EDW\nЗаниматься переходом с hive и greenplum на S3, trino Clickhouse.\nНаши пожелания к кандидатам:\nОпыт работы аналитиком данных более 3 лет\nОпыт с SQL: партицирование, оптимизация\nОпыт работы с Python и Airflow\nОпыт работы с Hadoop: Hive, NiFi, Spark\nОпыт работы с Trino, Clickhouse, S3\nОпыт работы с SAP-системы: HCM, ER\nОпыт работы с EDW\nОпыт работы с Power Designer\nMPP DB: GreenPlum\nЧто мы предлагаем:\nФорма трудоустройства на ваш выбор: договору оказания услуг с ИП или самозанятым\nУчастие в интересных масштабных проектах с Заказчиками федерального и международного уровня\nРабота с передовыми технологиями\nВозможности профессионального и карьерного роста\nПолностью удаленная работа\nРегулярная и достойная оплата труда\nВ нашей команде работают профессионалы с разносторонним опытом. Здесь ты найдешь профессиональные задачи и новые вызовы, сможешь реализовать свой потенциал.\nХочешь стать частью нашей команды? Мы ждем твоего отклика и свяжемся с тобой !","['Python', 'SQL', 'Pandas', 'NumPy', 'ClickHouse', 'Airflow', 'Spark', 'Git']",ЛИАН,Москва,2026-04-10T16:08:17.693+03:00,hh,аналитик данных
8,129589810,https://hh.ru/vacancy/129589810,Аналитик данных,,"Компания ""Служба защиты активов\n"" – аккредитованное российское коллекторское агентство, ведущее деятельность в области взыскания просроченной задолженности с применением передовых IT-технологий. Мы защищаем активы и помогаем находить выход из сложных финансовых ситуаций. Работать с нами комфортно и продуктивно!\nРабота предполагает офисный формат - ул. Коммунаров, 76.\nВ задачи будущего сотрудника входит:\nАнализ данных по действующим клиентам;\nВыгрузка данных из БД и формирование отчетов;\nОценка потенциальных портфелей задолженностей перед покупкой;\nПрогнозирование финансового результата;\nУчастие в разработке и внедрении, сопровождение скоринговых моделей;\nМониторинг и анализ качества кредитного портфеля, предложение улучшений.\nЭта вакансия для Вас, если:\nГотовы и умеете обрабатывать большие массивы данных;\nУмеете анализировать и систематизировать данные;\nВладеете SQL на уровне: написание запросов, сортировка данных, выборки;\nПродвинутый пользователь Excel;\nЛегко можете освоить новые инструменты аналитики.\nБудет преимуществом: физико-математическое образование, владение методами машинного обучения и языком программирования Python.\nМы заботимся о сотрудниках, поэтому предлагаем:\nОфициальность и надежность:\nОфициальное оформление по ТК РФ с первого рабочего дня;\nФинансовая стабильность:\nВы получаете белую зарплату два раза в месяц без задержек;\nЗабота:\nПолноценный соц.пакет включает оплачиваемые отпуска, больничные листы и увлекательные корпоративные мероприятия, позволяющие расслабиться и зарядиться позитивом. Каждую неделю мы проводим бесплатные тренировки по волейболу для сотрудников;\nУдобный рабочий график:\nС понедельника по пятницу, с 9:00 до 18:00 без задержек. Обязательно предусмотрен часовой перерыв на отдых и восстановление сил;\nПрофессиональный рост и перспективы развития:\nМы заинтересованы в профессиональном росте каждого сотрудника и готовы поддержать вас на пути к новым высотам, предоставляя возможность карьерного развития;\nСовременный комфортный офис:\nУютная рабочая атмосфера создана специально для повышения вашей продуктивности и комфорта. Наш адрес ул. Коммунаров, 76;\nПоддержка на всех этапах:\nОпытные коллеги готовы прийти на помощь и оказать поддержку на всех этапах адаптации, для быстрого погружения в рабочий процесс.\nРаботая с нами, Вы получаете возможность быть на острие цифрового развития на основе передового опыта и новейших технологий.\nЭксперты в области ИТ и бизнеса готовы делиться своими знаниями.","['SQL', 'Анализ данных', 'Работа с базами данных', 'Python']",ПКО Служба защиты активов,Краснодар,2026-04-10T15:26:46.630+03:00,hh,аналитик данных
9,131308942,https://hh.ru/vacancy/131308942,Аналитик данных,,"Технопром\n- это многопрофильная ИТ и ИБ компания, относящаяся к крупному бизнесу. На рынке более 14 лет. Мы предлагаем высочайшее качество бизнес-решений и широкий спектр услуг.\nПочему Технопром?\nМы поддерживаем карьерное развитие сотрудников, предоставляя доступ к обучающим курсам, семинарам и сертификациям.\nДружелюбная атмосфера, где ценятся идеи каждого сотрудника и поощряется сотрудничество и обмен знаниями.\nМы ценим баланс между работой и личной жизнью, поэтому предлагаем гибкое начало рабочего дня.\nПредлагаем конкурентные условия оплаты труда и систему премирования, основанную на результатах работы.\nПостоянное развитие и изучение новых технологий, которое делает работу увлекательной и разнообразной.\nБыстрая и комфортная адаптация обеспечивается нашими экспертами, поэтому даже новичкам легко влиться в наш коллектив и прокачать свои навыки в первые две недели.\nДоверительные отношения. Наши руководители всегда открыты к диалогу и готовы помочь в решении любых вопросов, связанных с работой. Оперативность, стабильность и отзывчивость — это про нас!\nМы ищем к себе в команду\nАналитика данных в Финансовый департамент.\nКлючевая задача:\nРазвитие использования в компании инструментов ETL/DWH для повышения глубины и качества анализа финансов, бизнеса, продаж, вспомогательных функций. Развитие качества и надежности финансовых и бизнес-моделей.\nОбязанности:\n1. Подготовка технических заданий (ТЗ) на основе вводных данных и требований руководства:\nСбор и анализ требований заказчиков и заинтересованных сторон;\nОпределение целей аналитических задач и ожидаемых результатов;\nПодготовка и согласование технических заданий, определение источников данных и форматов отчетности.\n2. Загрузка, обработка и подготовка данных для формирования необходимой аналитики:\nПодключение к различным источникам данных (базы данных, Excel, CSV и др.);\nНаписание SQL-запросов, Power Query (M)-скриптов и использование Power Pivot для интеграции, очистки и моделирования данных;\nВыполнение ETL-процессов: загрузка, очистка, объединение и консолидация данных;\nКонтроль корректности, целостности и актуальности информации;\nФормирование и поддержка витрин данных для последующего анализа и визуализации.\n3.Формирование отчетов и дашбордов:\nРазработка интерактивных отчетов и дашбордов в BI-инструментах (Power BI, Power Query, Power Pivot и др.);\nИспользование DAX-формул и мер Power Pivot для построения расчетных показателей и аналитических моделей;\nНастройка визуализаций, фильтров, параметров и структур отчетности в соответствии с требованиями заказчика;\nОптимизация производительности отчетов и обеспечение их корректного автоматического обновления;\nПоддержка процессов автоматизации и интеграции BI-решений с другими системами.\n4. Тестирование и контроль качества данных:\nТестирование корректности выполнения SQL- и Power Query-запросов, проверка логики расчетов и фильтрации данных;\nПроверка данных в автоматически сформированных отчетах и дашбордах по согласованному графику обновлений;\nАнализ расхождений, выявление ошибок в источниках данных или расчетных формулах, подготовка отчетов об ошибках;\nОбеспечение достоверности и стабильности аналитической информации, используемой руководством и бизнес-подразделениями.\n5. Подготовка пользовательских витрин и аналитических представлений:\nСоздание тематических витрин данных и аналитических моделей под задачи подразделений;\nРазработка и документирование бизнес-логики, расчетных полей и мер Power Pivot;\nПроверка согласованности и точности расчетов, соответствие показателей утвержденным бизнес-правилам;\nОбеспечение стабильной работы, обновления и развития витрин данных.\n6. Подготовка пользовательской документации и инструкций:\nРазработка инструкций и методических материалов по работе с отчетами, витринами и дашбордами;\nПодготовка описаний логики показателей, фильтров, мер и расчетных формул;\nПроведение обучающих сессий и консультаций для пользователей BI-инструментов (в том числе Power BI, Excel Power Pivot/Query);\nПубликация инструкций, методик и лучших практик в корпоративной базе знаний для обеспечения единого подхода к аналитическим процессам.\nТребования:\nВысшее профильное образование (базовые знания математической статистики);\nОпыт в роли дата-аналитика в финансовых, продуктовых или кросс-функциональных командах от 2-х лет;\nХорошие аналитические способности и техническая подготовка;\nВысокий̆ уровень ответственности и вовлечённости, внимательность;\nУмение и желание при необходимости самостоятельно разобраться в нюансах поставленной задачи;\nУмение анализировать и чётко формулировать свои мысли и задачи;\nУмение работать в условиях сжатых сроков;\nПродвинутое знание MS Excel,\nPOWER QUERY\n, OLAP-кубы, SQL-запросы;\nПонимание архитектуры DWH, опыт в построении;\nОпыт построения end-to-end ETL/ELT пайплайнов;\nЗнания Python (pandas, numpy) для обработки данных и автоматизации;\nОпыт работы с BI-системами и опыт разработки дашбордов (Power BI, Qlik, Superset, Grafana);\nБазовые знания математической статистики;\nГотовность работать в команде с использованием коллективных практик и стандартов работы с задачами.\nУсловия:\nОфициальное оформление с 1 рабочего дня;\nЗаработная плата (белая) по результатам собеседования, доход на уровне рынка и четкая система мотивации;\nРежим работы - пятидневная 40-часовая рабочая неделя (гибкое начало рабочего дня), ненормированный рабочий день.\nЗабота о здоровье сотрудников - корпоративная программа ДМС после испытательного срока, включая стоматологию, страхование родственников, сервис Телепсихология, а также юридические и финансовые консультации;\nПоддержка HR на всех этапах;\nКомфортный офис со своей кухней, бесплатный кофе/чай/молоко, угощения по пятницам;\nРегулярные team-building`и, корпоративы для сотрудников, а также семейные праздники;\nКорпоративный спорт (""здоровая спина"").\n​​​​​","['Power BI', 'Power Query', 'OLAP', 'SQL', 'MS Excel', 'Визуализация данных']",Технопром,Москва,2026-04-10T15:18:15.762+03:00,hh,аналитик данных
