,id,id_region,id_country,title,title_eng
0,4,46,1,Москва,Moscow
1,14,41,1,Санкт-Петербург,Saint-Petersburg
2,13,50,1,Новосибирск,Novosibirsk
3,33,65,1,Екатеринбург,Ekaterinburg
4,12,22,1,Нижний Новгород,Nizhnii Novgorod
5,73,60,1,Ростов-на-Дону,Rostov-na-Donu
6,56,8,1,Хабаровск,Khabarovsk
7,55,92,1,Казань,Kazan'
8,106,75,1,Челябинск,Chelyabinsk
9,17,52,1,Омск,Omsk
10,5,36,1,Самара,Samara
11,173,80,1,Уфа,Ufa
12,130,4,1,Красноярск,Krasnoyarsk
13,422,105,1,Донецк (Донецкая область),Donetsk
14,119,57,1,Пермь,Perm'
15,42,20,1,Воронеж,Voronezh
16,89,18,1,Волгоград,Volgograd
17,495,108,1,Запорожье,Zaporozh'e
18,146,63,1,Саратов,Saratov
19,25,3,1,Краснодар,Krasnodar
20,638,36,1,Тольятти,Tol'yatti
21,347,94,1,Ижевск,Izhevsk
22,162,1,1,Барнаул,Barnaul
23,141,25,1,Иркутск,Irkutsk
24,90,73,1,Ульяновск,Ul'yanovsk
25,72,78,1,Ярославль,Yaroslavl'
26,783,32,1,Новокузнецк,Novokuznetsk
27,47,53,1,Оренбург,Orenburg
28,217,61,1,Рязань,Ryazan'
29,70,5,1,Владивосток,Vladivostok
30,401,56,1,Пенза,Penza
31,168,71,1,Тюмень,Tyumen'
32,782,92,1,Набережные Челны,Naberezhnye Chelny
33,20,42,1,Липецк,Lipetsk
34,172,12,1,Астрахань,Astrahan'
35,383,95,1,Абакан,Abakan
36,402,77,1,Анадырь,Anadyr'
37,87,11,1,Архангельск,Arhangel'sk
38,391,14,1,Белгород,Belgorod
39,397,99,1,Биробиджан,Birobidzhan
40,390,10,1,Благовещенск (Амурская область),Blagoveschensk
41,398,15,1,Брянск,Bryansk
42,2,49,1,Великий Новгород,Velikii Novgorod
43,381,90,1,Владикавказ,Vladikavkaz
44,88,17,1,Владимир,Vladimir
45,392,19,1,Вологда,Vologda
46,384,84,1,Горно-Алтайск,Gorno-Altaisk
47,388,96,1,Грозный,Groznyi
48,122,24,1,Иваново,Ivanovo
49,60,88,1,Йошкар-Ола,Ioshkar-Ola
50,99,27,1,Калининград,Kaliningrad
51,127,29,1,Калуга,Kaluga
52,399,32,1,Кемерово,Kemerovo
53,228,33,1,Киров (Кировская область),Kirov
54,370,34,1,Кострома,Kostroma
55,26,37,1,Курган,Kurgan
56,400,38,1,Курск,Kursk
57,382,93,1,Кызыл,Kyzyl
58,394,44,1,Магадан,Magadan
59,882,26,1,Магас,Magas
60,376,79,1,Майкоп,Maikop
61,372,82,1,Махачкала,Mahachkala
62,125,47,1,Мурманск,Murmansk
63,378,83,1,Нальчик,Nal'chik
64,34,54,1,Орел,Orel
65,142,86,1,Петрозаводск,Petrozavodsk
66,393,30,1,Петропавловск-Камчатский,Petropavlovsk-Kamchatskii
67,35,58,1,Псков,Pskov
68,380,89,1,Саранск,Saransk
69,426,112,1,Севастополь,Sevastopol'
70,312,66,1,Смоленск,Smolensk
